Mod:Item:MetaData, Localized Name
minecraft:air, Powietrze
minecraft:stone:0, Kamień
minecraft:stone:1, Granit
minecraft:stone:2, Wypolerowany granit
minecraft:stone:3, Dioryt
minecraft:stone:4, Wypolerowany dioryt
minecraft:stone:5, Andezyt
minecraft:stone:6, Wypolerowany andezyt
minecraft:grass, Blok trawy
minecraft:dirt:0, Ziemia
minecraft:dirt:1, Twarda ziemia
minecraft:dirt:2, Bielica
minecraft:cobblestone, Bruk
minecraft:planks:0, Deski dębowe
minecraft:planks:1, Deski świerkowe
minecraft:planks:2, Deski brzozowe
minecraft:planks:3, Deski tropikalne
minecraft:planks:4, Deski akacjowe
minecraft:planks:5, Deski ciemnodębowe
minecraft:sapling:0, Sadzonka dębu
minecraft:sapling:1, Sadzonka świerku
minecraft:sapling:2, Sadzonka brzozy
minecraft:sapling:3, Sadzonka tropikalna
minecraft:sapling:4, Sadzonka akacji
minecraft:sapling:5, Sadzonka ciemnego dębu
minecraft:bedrock, Skała macierzysta
minecraft:sand:0, Piasek
minecraft:sand:1, Czerwony piasek
minecraft:gravel, Żwir
minecraft:gold_ore, Ruda złota
minecraft:iron_ore, Ruda żelaza
minecraft:coal_ore, Ruda węgla
minecraft:log:0, Dębowe drewno
minecraft:log:1, Świerkowe drewno
minecraft:log:2, Brzozowe drewno
minecraft:log:3, Tropikalne drewno
minecraft:leaves:0, Dębowe liście
minecraft:leaves:1, Świerkowe liście
minecraft:leaves:2, Brzozowe liście
minecraft:leaves:3, Tropikalne liście
minecraft:sponge:0, Gąbka
minecraft:sponge:1, Mokra gąbka
minecraft:glass, Szkło
minecraft:lapis_ore, Ruda lazurytu
minecraft:lapis_block, Blok lazurytu
minecraft:dispenser, Dozownik
minecraft:sandstone:0, Piaskowiec
minecraft:sandstone:1, Rzeźbiony piaskowiec
minecraft:sandstone:2, Gładki piaskowiec
minecraft:noteblock, Blok dźwiękowy
minecraft:golden_rail, Zasilane tory
minecraft:detector_rail, Tory z czujnikiem
minecraft:sticky_piston, Lepki tłok
minecraft:web, Pajęczyna
minecraft:tallgrass:1, Trawa
minecraft:tallgrass:2, Paproć
minecraft:deadbush, Uschnięty krzak
minecraft:piston, Tłok
minecraft:wool:0, Biała wełna
minecraft:wool:1, Pomarańczowa wełna
minecraft:wool:2, Karmazynowa wełna
minecraft:wool:3, Jasnoniebieska wełna
minecraft:wool:4, Żółta wełna
minecraft:wool:5, Jasnozielona wełna
minecraft:wool:6, Różowa wełna
minecraft:wool:7, Szara wełna
minecraft:wool:8, Jasnoszara wełna
minecraft:wool:9, Błękitna wełna
minecraft:wool:10, Purpurowa wełna
minecraft:wool:11, Niebieska wełna
minecraft:wool:12, Brązowa wełna
minecraft:wool:13, Zielona wełna
minecraft:wool:14, Czerwona wełna
minecraft:wool:15, Czarna wełna
minecraft:yellow_flower:0, Mlecz
minecraft:red_flower:0, Mak
minecraft:red_flower:1, Niebieska orchidea
minecraft:red_flower:2, Czosnek
minecraft:red_flower:3, Houstonia błękitna
minecraft:red_flower:4, Czerwony tulipan
minecraft:red_flower:5, Pomarańczowy tulipan
minecraft:red_flower:6, Biały tulipan
minecraft:red_flower:7, Różowy tulipan
minecraft:red_flower:8, Margaretka
minecraft:brown_mushroom, Grzyb
minecraft:red_mushroom, Grzyb
minecraft:gold_block, Blok złota
minecraft:iron_block, Blok żelaza
minecraft:stone_slab:0, Kamienna płyta
minecraft:stone_slab:1, Piaskowcowa płyta
minecraft:stone_slab:3, Brukowa płyta
minecraft:stone_slab:4, Ceglana płyta
minecraft:stone_slab:5, Płyta z kamiennych cegieł
minecraft:stone_slab:6, Płyta z netherowej cegły
minecraft:stone_slab:7, Kwarcowa płyta
minecraft:brick_block, Cegły
minecraft:tnt, TNT
minecraft:bookshelf, Biblioteczka
minecraft:mossy_cobblestone, Zamszony bruk
minecraft:obsidian, Obsydian
minecraft:torch, Pochodnia
minecraft:mob_spawner, Spawner potworów
minecraft:oak_stairs, Dębowe schody
minecraft:chest, Skrzynia
minecraft:diamond_ore, Ruda diamentu
minecraft:diamond_block, Blok diamentu
minecraft:crafting_table, Stół rzemieślniczy
minecraft:farmland, Pole uprawne
minecraft:furnace, Piec
minecraft:ladder, Drabina
minecraft:rail, Tory
minecraft:stone_stairs, Kamienne schody
minecraft:lever, Dźwignia
minecraft:stone_pressure_plate, Kamienna płyta naciskowa
minecraft:wooden_pressure_plate, Drewniana płyta naciskowa
minecraft:redstone_ore, Ruda redstone
minecraft:redstone_torch, Pochodnia redstone
minecraft:stone_button, Przycisk
minecraft:snow_layer, Śnieg
minecraft:ice, Lód
minecraft:snow, Śnieg
minecraft:cactus, Kaktus
minecraft:clay, Glina
minecraft:jukebox, Szafa grająca
minecraft:fence, Płot dębowy
minecraft:pumpkin, Dynia
minecraft:netherrack, Netherrack
minecraft:soul_sand, Piasek dusz
minecraft:glowstone, Jasnogłaz
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, Białe szkło
minecraft:stained_glass:1, Pomarańczowe szkło
minecraft:stained_glass:2, Karmazynowe szkło
minecraft:stained_glass:3, Jasnoniebieskie szkło
minecraft:stained_glass:4, Żółte szkło
minecraft:stained_glass:5, Jasnozielone szkło
minecraft:stained_glass:6, Różowe szkło
minecraft:stained_glass:7, Szare szkło
minecraft:stained_glass:8, Jasnoszare szkło
minecraft:stained_glass:9, Błękitne szkło
minecraft:stained_glass:10, Fioletowe szkło
minecraft:stained_glass:11, Niebieskie szkło
minecraft:stained_glass:12, Brązowe szkło
minecraft:stained_glass:13, Zielone szkło
minecraft:stained_glass:14, Czerwone szkło
minecraft:stained_glass:15, Czarne szkło
minecraft:trapdoor, Klapa drewniana
minecraft:monster_egg:0, Kamień z ukrytym potworem
minecraft:monster_egg:1, Bruk z ukrytym potworem
minecraft:monster_egg:2, Kamienne cegły z ukrytym potworem
minecraft:monster_egg:3, Zamszone kamienne cegły z ukrytym potworem
minecraft:monster_egg:4, Popękane kamienne cegły z ukrytym potworem
minecraft:monster_egg:5, Rzeźbione kamienne cegły z ukrytym potworem
minecraft:stonebrick:0, Kamienne cegły
minecraft:stonebrick:1, Zamszone kamienne cegły
minecraft:stonebrick:2, Popękane kamienne cegły
minecraft:stonebrick:3, Rzeźbione kamienne cegły
minecraft:brown_mushroom_block, Grzyb
minecraft:red_mushroom_block, Grzyb
minecraft:iron_bars, Żelazne kraty
minecraft:glass_pane, Szyba
minecraft:melon_block, Arbuz
minecraft:vine, Pnącza
